latitude,longitude,osm_id,name,subdistrict,district,state,country
72.19420379962435,10.86635079954887,1603833215, ,Agatti,Lakshadweep District,Lakshadweep,India
75.72715489917937,12.425264500352894,1900761944, ,Madikeri,Kodagu,Karnataka,India
75.38509920049934,12.575538900060764,1987151036, ,Sulya,Dakshina Kannada,Karnataka,India
75.56752550028999,13.930133399563761,1813605986,Shimoga Fire Brigade,Shivamogga,Shivamogga,Karnataka,India
77.117171400309,8.284414600517035,1623278706,Kollencode Fire Station,Vilavancode,Kanniyakumari,Tamil Nadu,India
77.42019449949517,8.970830300052143,1918542001,Surandai Fire Station,Veerakeralamputhur,Tenkasi,Tamil Nadu,India
77.85305120011986,8.33715689991542,1685476665,Tisaiyanvillai Fire Station,Radhapuram,Tirunelveli,Tamil Nadu,India
76.99750139997873,11.039199299978074,942754044,Ganapathy FireStation,Coimbatore North,Coimbatore,Tamil Nadu,India
76.9512394995397,11.293845000157397,1473264367,Mettupalayam Fire Station,Mettupalayam,Coimbatore,Tamil Nadu,India
76.46500620010325,13.25889580006233,1465647252,Fire Station,Tiptur,Tumakuru,Karnataka,India
76.12257930047981,13.008726100560112,2373933275,Hassan Fire Station,Hassan,Hassan,Karnataka,India
75.93304190006911,14.458970599862372,1789651737,Davanagere Fire Station,Davanagere,Davangere,Karnataka,India
77.61852789953737,13.048248699487619,928264962,Hebbal Fire Station,Bengaluru Urban,Bengaluru Urban,Karnataka,India
77.60072039982757,12.933703600596985,1448262213,Jaynagar Fire Station,Bengaluru Urban,Bengaluru Urban,Karnataka,India
77.6458789005014,13.011567599877122,1453308808,Banaswadi Fire Station,Bengaluru Urban,Bengaluru Urban,Karnataka,India
77.56115380040627,12.922121900012602,1741801087,Fire Station,Bengaluru Urban,Bengaluru Urban,Karnataka,India
80.23069220003714,13.035131299707599,2427727851, ,Chennai,Chennai,Tamil Nadu,India
75.6403974999928,15.427376799674853,1474289502, ,Gadag,Gadag,Karnataka,India
92.55778439944665,10.587115300157324,2167520192, ,Little Andaman,South Andamans,Andaman & Nicobar,India
76.99204579920593,9.575443900019495,3816579578,"Fire and Rescue Station, Perumade",Peerumade,Idukki,Kerala,India
80.13359640016438,12.943636099869707,3029313653,Tamil Nadu Fire and Rescue Services,Alandur,Chengalpattu,Tamil Nadu,India
76.37840349979173,15.169799699892016,3207088571,BMM Fire station,Hosapete,Ballari,Karnataka,India
76.5407272004414,15.078050900544875,3081416874, ,Sandur,Ballari,Karnataka,India
78.5384578998477,17.42242069957319,3200943739, ,Marredpally,Hyderabad,Telangana,India
81.7775267999166,16.9910851993947,3076342595,Fire Station,Rajahmundry Urban,East Godavari,Andhra Pradesh,India
81.77069510050278,17.010721599963155,3076342596,Fire Station,Rajahmundry Urban,East Godavari,Andhra Pradesh,India
77.95392119979361,9.593434100134871,4419269499,Virudhunagar Fire Station,Virudhunagar,Virudhunagar,Tamil Nadu,India
78.15113529989017,11.653941299829514,4305461798, ,Salem,Salem,Tamil Nadu,India
79.83198569964159,11.926059300270275,4316621643,Pondicherry Fire Department;Villa Labourdonna's Guest House,Puducherry Taluk,Pondicherry,Puducherry,India
77.4259497998063,8.177842300520018,5003290157, ,Agastheeswaram,Kanniyakumari,Tamil Nadu,India
76.31364069995655,10.069504099540517,4708279357,Fire and Rescue Station Vallarpadam,Paravur,Ernakulam,Kerala,India
79.13126439967755,12.913877999820212,4693434964,Vellore Fire station,Vellore,Vellore,Tamil Nadu,India
76.24705089931001,13.326636500006023,5118895338, ,Arsikere,Hassan,Karnataka,India
76.00007559962003,14.783026300240625,5016657227, ,Harapanahalli,Davangere,Karnataka,India
76.2325067005496,14.834821299938683,5003334123, ,Kotturu,Ballari,Karnataka,India
81.53403009950198,16.543177000047105,5051609255,Bhimavaram Fire station,Bhimavaram,West Godavari,Andhra Pradesh,India
82.53759729967419,17.357013100166363,5041287397,FIRE STATION,Tuni,East Godavari,Andhra Pradesh,India
76.69603109984664,8.973753499993533,5991292659,Fire Station,Kollam,Kollam,Kerala,India
80.22243109954658,12.83101729960688,5304198425, ,Sholinganallur,Chengalpattu,Tamil Nadu,India
80.22763409945141,12.976852799935164,5354315736,Fire service station;Fire Force Service center,Chennai,Chennai,Tamil Nadu,India
78.91478449999177,18.789196700133775,5466155231,Jagtial Fire Station,Jagitial,Jagitial,Telangana,India
92.73729029960484,11.674235000285476,5252129921, ,Port Blair,South Andamans,Andaman & Nicobar,India
83.20782330024538,17.668024199917028,5621265135,Pedda Gantyada Fore Station,Pedagantyada,Visakhapatanam,Andhra Pradesh,India
78.07406700000067,12.295966900170868,6359499505, ,Palakkodu,Dharmapuri,Tamil Nadu,India
77.38935920034369,13.099720100132334,6112964504,Nelamangala Fire Station,Nelamangala,Bengaluru Rural,Karnataka,India
77.73218049990271,12.987234700528083,6343284080,Whitefield Fire Station,Bengaluru Urban,Bengaluru Urban,Karnataka,India
79.70272449931215,11.393960900204466,6032167264,Fire Station Chidambaram,Chidambaram,Cuddalore,Tamil Nadu,India
79.80011239987427,11.951914599178723,6485835443,Fire Control Room,Ozhukarai Taluk,Pondicherry,Puducherry,India
80.17202109982408,12.988511499861886,6299267085, ,Alandur,Chengalpattu,Tamil Nadu,India
77.45824039936245,15.755751400559976,6369635014,"Fire Station, Yemmiganur",Yemmiganur,Kurnool,Andhra Pradesh,India
81.7330233004423,17.016299299345214,6364028885, ,Kovvur,West Godavari,Andhra Pradesh,India
76.68812379993241,12.417296899459387,6630947655, ,Shrirangapattana,Mandya,Karnataka,India
74.50796630037381,15.842796200151804,6845945393,Belgaum Fire Station,Belagavi,Belagavi,Karnataka,India
78.28699760030337,16.500783100266244,6837577307,"Fire Station, Nagarkurnool",Nagarkurnool,Nagarkurnool,Telangana,India
78.50195370034912,17.36851869986974,6652622187,Malakpet Fire Station,Amberpet,Hyderabad,Telangana,India
79.53437500034792,17.9135649995418,6837577306,"Mulkalagudem, 33/11 KV Sub Station",Hanamkonda,Warangal Urban,Telangana,India
